Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
,,1257,71.3,122,1
2298.6,,2035,19.6,40,0
0,,1487,39.5,30,0
2303.2,,1363,46.7,29,1
2297.5,0,1497,35.8,44,0
,310.5,1351,41.8,10,1
2297.4,,1476,42.3,107,0
2298.4,,1416,38.2,0,1
2301.9,,1286,62.8,22,1
2298.5,,1741,0,21,0
2298.8,,1466,44.1,184,0
,308.1,1440,43.7,,0
2300.5,0,1296,61.3,,1
2302.1,310.6,1326,59.1,0,1
2297.5,308.4,1604,38.1,,0
2297.4,309,1505,39.2,,0
0,308.3,1440,0,,0
2298.9,308.7,1727,29.4,116,0
,308.3,1824,24.2,49,0
2297.6,0,0,38.1,152,0
2297.4,,1459,41.3,196,0
2301.7,,1331,61.2,47,1
2298.4,,1782,23.9,24,0
2303,,1359,44.2,115,1
2297.4,,1439,51.9,188,0
2298,,1339,51.6,197,0
0,308.4,1579,36.6,152,0
2299,309,1351,52.2,,0
2298.2,308.4,1477,49.9,,0
2298.1,308.1,1484,40.4,,0
2299.1,310,1367,56.3,,1
2297.4,308.3,1493,41.2,,0
2297.6,308.7,1622,37.9,,0
2302.1,0,1379,48.2,0,1
,,1472,47.5,125,0
2298.1,,1654,32.1,25,0
2297.6,,1490,0,154,0
0,,1332,52.7,66,1
2302.1,,0,59.2,153,1
2297.6,309.6,,49.8,222,1
2298.8,308.6,,45.7,97,0
2298.8,308.4,,27.7,130,0
2301.4,310.7,,63.7,92,1
2297.4,308.3,,42,111,0
2297.4,308.3,,51.7,0,0
0,310.7,0,62.4,101,1
2302.7,310.7,1369,47.5,11,1
,312.7,1359,56.8,194,1
2298.7,0,1544,0,159,0
2298.1,308.3,1680,33.7,,0
2298.8,309.1,1350,52.5,,0
2297.4,308.3,1535,34.6,,0
2298.8,0,1368,50.8,,0
2297.8,308.4,1714,33.2,,0
2298.3,308,0,3.8,57,1
,311.5,1629,34.4,228,1
2295.8,306.3,1235,76.2,89,1
2297.7,0,1501,41.4,201,0
2302.1,310.7,1364,47.8,,1
2298.9,308.7,1433,44.7,,0
2298.6,309.2,0,30,,0
2298.7,310.1,1402,69.7,,1
0,308.6,1388,48.2,203,0
2297.5,0,1496,42.2,22,0
,309.3,1732,29.9,32,0
2297.5,308.6,0,26.7,70,0
2297.6,308.3,1438,0,84,0
,311.3,1350,48.1,32,1
0,308.4,1703,31.4,205,0
2298.1,307.7,2567,12.8,,1
2298.9,0,1572,34.1,,0
2298.8,308.6,1680,29.4,,0
2298.3,308.4,0,49.2,166,0
0,311,1338,67.6,194,1
2302.3,311.8,1363,54,,1
2300.4,310.2,1671,30.5,,1
2298.8,309.1,0,49.1,128,0
,308.2,1466,42.6,2,0
,311.7,1374,47.9,222,1
,311.8,1368,57.9,191,1
,309.1,1345,60.7,191,1
,311.4,1497,46,234,1
0,308.3,1459,59.6,207,1
,308.3,1484,43.9,,0
2303.3,311.6,1337,56.8,,1
2303.4,311.7,0,51.3,,1
0,310.9,1356,65.3,,1
2302,310.1,1361,45.4,,1
2298.6,309.2,1311,46.6,44,0
,308.6,1453,44.1,165,0
2296.8,308.1,0,62,,1
2298.9,308.7,1558,41.2,,0
0,308.3,1522,49.1,22,0
,309.6,1996,19.8,203,1
2298.2,0,1568,36,92,0
2297.4,308.4,1582,37.2,,0
2297.5,308.2,1647,31.3,,0
2302.6,310.2,0,62.4,92,1
,309,1410,65.7,191,1
2298.8,310.1,1243,74.5,,1
2298.5,308.2,1301,66.3,,1
2298.8,308.8,1441,40.5,0,0
,308.6,1584,29.3,162,0
0,308.1,1393,50.3,193,0
2297.7,308.5,0,56.7,,1
2299.2,0,1352,48.9,,1
2297.5,309.3,1564,37.5,0,0
,309.8,1324,72.8,159,1
2300.6,310.7,0,48.5,78,1
2298.7,308.4,1441,43.2,,0
2297.9,308.5,1449,40.8,,0
2303.6,312.2,1371,54.6,0,1
2298.8,308.8,1555,40.6,0,0
,310.8,1383,0,231,1
2298.8,308.9,0,47.9,206,0
2297.4,308.4,1369,50.6,,1
2301.7,309.5,1298,65.5,,1
2298.4,308.7,1386,44.9,0,0
0,309.2,1530,40,206,0
,310.8,1377,47.3,22,1
2299,309,0,31.8,,0
2297.4,308.1,1474,39.4,,0
2298.4,308.7,1523,0,,0
2302.6,310.2,2676,10.8,84,1
0,310.8,1285,62.6,0,1
,309.9,1312,65.3,192,1
2298.9,308.9,0,27.1,37,0
2298.5,0,1575,33.9,128,0
2302.8,310.9,1312,52.2,,1
2298.3,308.6,1548,40.3,,0
2301.7,309.9,1317,49,,1
2297.3,308.3,1657,31.1,,0
2297.5,308.2,1713,32.2,,0
,308.3,0,44.3,43,0
0,310.4,1336,58.2,0,1
2297.5,309.3,1459,49.7,,0
2299.2,310.7,1737,27,,1
2298.4,308.7,1588,0,,0
2302.7,0,2709,9.7,2,1
,310.7,1314,52.8,8,1
,308.4,1350,52.2,157,0
,308.4,1430,45.7,15,0
0,310.5,1379,57.3,204,1
2302.2,0,1355,51.5,,1
2298.4,310,1433,0,,0
2297.5,309.4,1391,58.2,,0
2300.7,311.1,2478,13.4,,1
2298.1,308.2,1485,40.7,,0
2298.8,309.3,0,44.8,0,0
,309.4,1561,37.3,70,0
,308.6,1413,46.5,122,0
,309.2,1715,28,30,0
,309.5,2153,15.3,98,1
,311.4,1324,54.2,228,1
2297.9,308.6,1468,36,,0
2298.6,308.4,1407,50.5,,0
2297.4,308.2,1530,32.6,,0
