step,customer,age,gender,merchant,category,amount,fraud
0,1,3,1,1,1,44.26,1
0,2,3,1,1,1,324.5,1
0,3,3,1,2,2,176.32,1
0,4,3,1,2,2,337.41,1
0,5,4,2,3,3,220.11,1
0,6,2,2,3,3,4.32,1
0,7,2,2,4,4,278.02,1
0,8,5,2,4,4,69.53,1
0,9,4,2,5,4,70.15,1
0,10,3,2,5,4,238.82,1
0,1,3,1,1,1,667.09,1
0,11,1,2,1,1,520.5,1
0,12,2,2,6,3,190.53,1
0,12,2,2,6,3,451.92,1
0,8,5,2,4,4,305.11,1
0,7,2,2,4,4,764,1
0,13,4,1,7,5,328.02,1
0,14,3,2,7,5,707.22,1
0,15,3,2,8,3,198.58,1
0,16,3,1,8,3,304.21,1
0,17,4,2,6,3,154.77,1
0,18,4,2,6,3,122.04,1
0,19,6,2,4,4,881.04,1
0,19,6,2,4,4,83.07,1
0,20,6,2,8,3,432.27,1
0,20,6,2,8,3,87.68,1
0,7,2,2,1,1,289.21,1
0,8,5,2,1,1,560.9,1
0,21,3,2,3,3,135.11,1
0,21,3,2,3,3,256.37,1
0,22,2,2,9,6,66.6,1
0,23,5,1,9,6,189.22,1
0,19,6,2,4,4,364.68,1
0,24,2,2,4,4,398.57,1
0,25,4,2,10,7,119.81,1
0,25,4,2,10,7,506.77,1
0,7,2,2,4,4,383.14,1
0,19,6,2,4,4,321.7,1
0,11,1,2,1,1,908.5,1
0,26,4,1,1,1,142.86,1
1,5,4,2,4,4,255.14,1
1,5,4,2,4,4,21.93,1
1,20,6,2,6,3,212.16,1
1,27,1,2,6,3,329.13,1
1,28,2,1,1,1,933.69,1
1,29,1,1,1,1,132.13,1
1,1,3,1,11,8,285.16,1
1,11,1,2,11,8,352.7,1
1,30,3,2,12,4,1041.31,1
1,31,4,1,12,4,591.83,1
1,19,6,2,13,5,298.44,1
1,19,6,2,13,5,112.77,1
1,11,1,2,1,1,905.54,1
1,19,6,2,1,1,1126.96,1
1,32,3,1,1,1,222.26,1
1,32,3,1,1,1,399.22,1
1,14,3,2,14,9,3387.85,1
1,33,1,2,14,9,6888.3,1
1,34,4,1,4,4,397.63,1
1,35,3,1,4,4,92.01,1
1,34,4,1,1,1,809.46,1
1,36,3,2,1,1,896.93,1
1,37,3,1,2,2,396.36,1
1,8,5,2,2,2,661.53,1
1,36,3,2,1,1,801.49,1
1,1,3,1,1,1,149.11,1
1,8,5,2,1,1,265.33,1
1,36,3,2,1,1,167.27,1
1,38,3,1,15,4,836.04,1
1,39,3,2,15,4,195.37,1
1,40,4,2,11,8,326.34,1
1,40,4,2,11,8,307.06,1
1,41,2,2,7,5,646.92,1
1,8,5,2,7,5,526.09,1
1,42,2,2,16,8,349.85,1
1,43,1,1,16,8,153.08,1
1,7,2,2,10,7,141.83,1
1,44,2,2,10,7,22.43,1
1,45,2,2,1,1,388.51,1
1,8,5,2,1,1,41.98,1
2,46,4,2,7,5,788.67,1
2,47,0,2,7,5,1167.18,1
2,48,2,2,16,8,184.72,1
2,16,3,1,16,8,258.01,1
2,49,3,2,2,2,30.04,1
2,49,3,2,2,2,586.05,1
2,25,4,2,1,1,663.53,1
2,50,2,1,1,1,297.09,1
2,8,5,2,3,3,110.9,1
2,51,1,2,3,3,486.35,1
2,8,5,2,4,4,1022.06,1
2,22,2,2,4,4,532.05,1
2,7,2,2,15,4,253.25,1
2,52,4,1,15,4,38.2,1
2,8,5,2,1,1,264.99,1
2,42,2,2,1,1,143.1,1
2,11,1,2,13,5,29.82,1
2,24,2,2,13,5,503.68,1
2,53,4,2,4,4,478.89,1
2,54,2,1,4,4,283.25,1
2,55,2,2,17,3,243.05,1
2,11,1,2,17,3,415.19,1
2,56,6,2,18,10,195.81,1
2,56,6,2,18,10,42.64,1
2,8,5,2,19,9,891,1
2,8,5,2,19,9,1304.93,1
2,57,3,2,9,6,41.48,1
2,58,2,2,9,6,572.01,1
2,59,4,1,16,8,242.03,1
2,5,4,2,16,8,272.16,1
2,60,2,1,4,4,43.89,1
2,40,4,2,4,4,546.26,1
2,24,2,2,4,4,158.25,1
2,61,4,1,4,4,358.25,1
2,35,3,1,4,4,1079.27,1
2,62,6,1,4,4,404.39,1
2,7,2,2,19,9,653.5,1
2,19,6,2,19,9,7432.48,1
2,63,3,2,1,1,490.84,1
2,64,3,2,1,1,644.59,1
3,65,1,1,4,4,84.65,1
3,13,4,1,4,4,279.15,1
3,66,5,2,20,11,585.13,1
3,66,5,2,20,11,848.4,1
3,18,4,2,21,12,174.29,1
3,58,2,2,21,12,131.24,1
3,67,3,2,4,4,281.12,1
3,60,2,1,4,4,709.28,1
3,68,2,2,4,4,426.7,1
3,19,6,2,4,4,213.53,1
3,69,3,1,20,11,124.92,1
3,50,2,1,20,11,446.8,1
3,36,3,2,4,4,108.07,1
3,12,2,2,4,4,5.69,1
3,50,2,1,1,1,149.94,1
3,8,5,2,1,1,115.08,1
3,36,3,2,9,6,386.21,1
3,8,5,2,9,6,226.78,1
3,70,3,1,9,6,571.7,1
3,71,3,2,9,6,389.98,1
3,11,1,2,11,8,480.88,1
3,22,2,2,11,8,504.97,1
3,24,2,2,1,1,643.71,1
3,61,4,1,1,1,17.1,1
3,72,5,2,5,4,60.58,1
3,73,3,1,5,4,260.03,1
3,74,2,1,4,4,44.8,1
3,75,3,1,4,4,356.47,1
3,24,2,2,19,9,4883.62,1
3,19,6,2,19,9,237.95,1
3,76,3,2,5,4,701.22,1
3,8,5,2,5,4,428.54,1
3,48,2,2,1,1,716.17,1
3,15,3,2,1,1,699.94,1
3,77,3,1,4,4,332.47,1
3,78,4,2,4,4,361.28,1
3,79,1,1,19,9,3334.89,1
3,1,3,1,19,9,5107.7,1
3,7,2,2,22,1,1025.56,1
3,80,3,1,22,1,295.57,1
4,36,3,2,4,4,25.54,1
4,7,2,2,4,4,66.32,1
4,81,3,2,13,5,120.87,1
4,82,4,1,13,5,181.55,1
4,83,0,2,1,1,833.47,1
4,50,2,1,1,1,34.32,1
4,61,4,1,17,3,423.5,1
4,67,3,2,17,3,32.28,1
4,19,6,2,11,8,311.94,1
4,7,2,2,11,8,275.18,1
4,49,3,2,4,4,447.53,1
4,21,3,2,4,4,591.16,1
4,84,3,1,19,9,425.25,1
4,1,3,1,19,9,175.72,1
4,80,3,1,23,9,3999.35,1
4,19,6,2,23,9,2973.46,1
4,13,4,1,24,2,77.87,1
4,85,3,1,24,2,58.19,1
4,86,1,1,16,8,300.35,1
4,50,2,1,16,8,318.12,1
4,87,1,2,7,5,987.86,1
4,88,1,2,7,5,430.29,1
4,67,3,2,1,1,702.72,1
4,89,1,2,1,1,1083.7,1
4,29,1,1,1,1,580.99,1
4,90,5,2,1,1,290.15,1
4,73,3,1,3,3,158.83,1
4,20,6,2,3,3,541.86,1
4,8,5,2,16,8,372.92,1
4,8,5,2,16,8,336.82,1
4,91,4,1,11,8,427.51,1
4,66,5,2,11,8,290.64,1
4,64,3,2,1,1,697.85,1
4,54,2,1,1,1,475.9,1
