step,customer,age,gender,merchant,category,amount,fraud
72,1002,0,2,1,0,10034.52,0
134,1099,0,2,1,0,1312.97,0
23,2347,0,2,1,0,10021.77,0
142,2418,0,2,1,0,10042.4,0
151,755,0,3,1,0,239.13,0
119,1789,0,2,2,0,10022.42,0
145,207,0,2,3,0,10027.56,1
139,671,0,2,3,0,194.33,1
159,859,0,2,3,0,10037.21,1
80,909,0,2,3,0,10031.3,1
100,1089,0,2,3,0,67.22,1
80,1742,0,2,3,0,10003.92,1
172,1879,0,2,3,0,10006.68,1
85,2042,0,2,3,0,10019.81,1
22,2059,0,2,3,0,2371.07,1
48,2499,0,2,3,0,10090.33,1
109,3154,0,2,3,0,10039.36,1
75,411,0,3,3,0,46.66,1
162,1878,0,3,3,0,328.95,1
88,1953,0,3,3,0,10046.27,0
136,2788,0,3,3,0,173.43,1
3,848,0,2,4,0,10068.92,1
140,1089,0,2,4,0,36.12,1
38,1598,0,2,4,0,1449.53,1
81,1670,0,2,4,0,10022.47,1
74,2082,0,2,4,0,10007.12,1
16,656,0,3,4,0,10026.82,1
116,1070,0,3,4,0,10005.39,1
101,1226,0,3,4,0,287.14,1
99,1263,0,3,4,0,329.41,1
69,422,0,2,7,0,10019.77,1
98,671,0,2,7,0,10045.08,1
172,1112,0,2,7,0,10033.32,1
138,1598,0,2,7,0,10019.52,1
142,1895,0,2,7,0,10008.98,1
143,2244,0,3,7,0,10037.11,1
140,3397,0,3,7,0,10025.79,1
139,385,0,3,8,0,396.67,0
93,162,0,2,10,0,10023.09,0
142,814,0,2,10,0,10011.42,0
12,1503,0,2,10,0,10025.47,1
68,1568,0,2,10,0,10018.88,1
157,2021,0,2,10,0,10029.57,1
13,2040,0,2,10,0,10025.05,1
134,2237,0,2,10,0,10017.51,1
8,2749,0,2,10,0,438.81,0
91,2828,0,2,10,0,10047.78,1
132,3071,0,2,10,0,322.79,0
69,3370,0,2,10,0,10046.02,1
113,342,0,3,10,0,10168.51,1
137,762,0,3,10,0,10005.56,1
47,996,0,3,10,0,10033.09,1
67,2300,0,3,10,0,311.31,1
55,3354,0,3,10,0,10018.78,0
61,3405,0,3,10,0,906.34,1
19,535,0,2,11,0,10008.95,1
165,573,0,2,11,0,421.64,1
23,595,0,2,11,0,10039.12,1
1,1938,0,2,11,0,10021.67,1
1,2329,0,2,11,0,10029.93,1
111,3282,0,2,11,0,128.91,1
170,663,0,3,11,0,10022.2,1
24,2145,0,3,11,0,10001.38,1
120,2238,0,3,11,0,10054.81,0
59,2519,0,3,12,0,10025.72,0
151,692,0,2,13,0,10043.31,0
40,1848,0,2,13,0,25.05,1
117,2086,0,2,13,0,10042.04,1
38,2103,0,2,13,0,10000.05,1
105,2737,0,2,13,0,10039.41,1
105,3133,0,2,13,0,10020.92,1
16,2714,0,3,13,0,10007.29,1
19,564,0,2,14,0,10024.39,1
8,810,0,2,14,0,10015.28,1
132,816,0,2,14,0,175.34,1
64,1294,0,2,14,0,10012.6,1
176,1890,0,2,14,0,10052.03,1
15,1938,0,2,14,0,10026.02,1
32,2284,0,2,14,0,10049.28,1
18,2821,0,2,14,0,10017.82,1
121,342,0,3,14,0,10021.45,1
148,1350,0,3,14,0,10039.1,1
162,2067,0,2,15,0,10057.93,1
14,2103,0,2,15,0,10049.48,1
104,304,0,3,15,0,10031.82,1
